Cage,Observation,Time,Day,Treatment,TimeSpent
6,3,PM,1,Ap23,0
7,1,PM,1,Ap23,262
7,2,PM,1,Ap23,0
7,3,PM,1,Ap23,0
8,1,PM,1,Ap23,0
8,2,PM,1,Ap23,0
8,3,PM,1,Ap23,0
9,1,PM,1,Ap23,0
9,2,PM,1,Ap23,0
9,3,PM,1,Ap23,0
10,1,PM,1,Ap23,0
10,2,PM,1,Ap23,0
10,3,PM,1,Ap23,0
1,1,AM,2,Ap23,0
1,2,AM,2,Ap23,0
1,3,AM,2,Ap23,0
2,1,AM,2,Ap23,0
2,2,AM,2,Ap23,0
2,3,AM,2,Ap23,0
3,1,AM,2,Ap23,0
3,2,AM,2,Ap23,0
3,3,AM,2,Ap23,0
4,1,AM,2,Ap23,0
4,2,AM,2,Ap23,0
4,3,AM,2,Ap23,0
5,1,AM,2,Ap23,0
5,2,AM,2,Ap23,0
5,3,AM,2,Ap23,0
6,1,AM,2,Ap23,19
6,2,AM,2,Ap23,0
6,3,AM,2,Ap23,0
7,1,AM,2,Ap23,0
7,2,AM,2,Ap23,0
7,3,AM,2,Ap23,0
8,1,AM,2,Ap23,0
8,2,AM,2,Ap23,0
8,3,AM,2,Ap23,0
9,1,AM,2,Ap23,0
9,2,AM,2,Ap23,0
9,3,AM,2,Ap23,0
10,1,AM,2,Ap23,0
10,2,AM,2,Ap23,0
10,3,AM,2,Ap23,0
1,1,PM,2,Ap23,32
1,2,PM,2,Ap23,69
1,3,PM,2,Ap23,0
2,1,PM,2,Ap23,249
2,2,PM,2,Ap23,300
2,3,PM,2,Ap23,300
3,1,PM,2,Ap23,0
3,2,PM,2,Ap23,0
3,3,PM,2,Ap23,0
4,1,PM,2,Ap23,0
4,2,PM,2,Ap23,0
4,3,PM,2,Ap23,0
5,1,PM,2,Ap23,0
5,2,PM,2,Ap23,0
5,3,PM,2,Ap23,0
6,1,PM,2,Ap23,0
6,2,PM,2,Ap23,0
6,3,PM,2,Ap23,0
7,1,PM,2,Ap23,0
7,2,PM,2,Ap23,0
7,3,PM,2,Ap23,0
8,1,PM,2,Ap23,0
8,2,PM,2,Ap23,0
8,3,PM,2,Ap23,0
9,1,PM,2,Ap23,0
9,2,PM,2,Ap23,0
9,3,PM,2,Ap23,0
10,1,PM,2,Ap23,0
10,2,PM,2,Ap23,0
10,3,PM,2,Ap23,0
1,1,AM,3,Ap23,0
1,2,AM,3,Ap23,0
1,3,AM,3,Ap23,0
2,1,AM,3,Ap23,0
2,2,AM,3,Ap23,0
2,3,AM,3,Ap23,0
3,1,AM,3,Ap23,102
3,2,AM,3,Ap23,0
3,3,AM,3,Ap23,0
4,1,AM,3,Ap23,0
4,2,AM,3,Ap23,0
4,3,AM,3,Ap23,0
5,1,AM,3,Ap23,0
5,2,AM,3,Ap23,0
5,3,AM,3,Ap23,0
6,1,AM,3,Ap23,0
6,2,AM,3,Ap23,0
6,3,AM,3,Ap23,0
7,1,AM,3,Ap23,0
7,2,AM,3,Ap23,0
7,3,AM,3,Ap23,0
8,1,AM,3,Ap23,0
8,2,AM,3,Ap23,0
8,3,AM,3,Ap23,0
9,1,AM,3,Ap23,0
9,2,AM,3,Ap23,0
9,3,AM,3,Ap23,0
10,1,AM,3,Ap23,0
10,2,AM,3,Ap23,0
10,3,AM,3,Ap23,0
1,1,PM,3,Ap23,231
1,2,PM,3,Ap23,0
1,3,PM,3,Ap23,0
2,1,PM,3,Ap23,0
2,2,PM,3,Ap23,0
2,3,PM,3,Ap23,0
3,1,PM,3,Ap23,0
3,2,PM,3,Ap23,0
3,3,PM,3,Ap23,0
4,1,PM,3,Ap23,0
4,2,PM,3,Ap23,0
4,3,PM,3,Ap23,0
5,1,PM,3,Ap23,0
5,2,PM,3,Ap23,0
5,3,PM,3,Ap23,0
6,1,PM,3,Ap23,0
6,2,PM,3,Ap23,0
6,3,PM,3,Ap23,0
7,1,PM,3,Ap23,0
7,2,PM,3,Ap23,0
7,3,PM,3,Ap23,0
8,1,PM,3,Ap23,157
8,2,PM,3,Ap23,0
8,3,PM,3,Ap23,0
9,1,PM,3,Ap23,0
9,2,PM,3,Ap23,0
9,3,PM,3,Ap23,0
10,1,PM,3,Ap23,0
10,2,PM,3,Ap23,0
10,3,PM,3,Ap23,0
1,1,AM,4,Ap23,0
1,2,AM,4,Ap23,0
1,3,AM,4,Ap23,0
2,1,AM,4,Ap23,0
2,2,AM,4,Ap23,0
2,3,AM,4,Ap23,0
3,1,AM,4,Ap23,0
3,2,AM,4,Ap23,0
3,3,AM,4,Ap23,0
4,1,AM,4,Ap23,0
4,2,AM,4,Ap23,0
4,3,AM,4,Ap23,0
5,1,AM,4,Ap23,0
5,2,AM,4,Ap23,0
5,3,AM,4,Ap23,0
6,1,AM,4,Ap23,0
6,2,AM,4,Ap23,0
6,3,AM,4,Ap23,0
7,1,AM,4,Ap23,0
7,2,AM,4,Ap23,0
7,3,AM,4,Ap23,0
8,1,AM,4,Ap23,0
